Group	ROI	1H	2H	SE	Ratio_2Hx1H	area	axis_major_length	axis_minor_length
red	1	68340	11	293762	0.0001609340024286404	303	49.58142917566114	8.619309509229588
red	2	72253	4	682115	5.5357958398494266e-05	694	104.69339406539008	19.570331603924135
red	3	24542	6	101467	0.00024441909727880074	115	20.068061956302934	7.406398711247705
red	4	45916	6	251320	0.000130656330299203	261	50.73892529354963	8.047086422736742
red	5	36798	7	195085	0.000190191550061133	192	39.406894099583056	6.449381930492071
red	6	26317	5	117397	0.00018995517057974318	118	25.10161045421573	6.567567195934967
red	7	25975	0	150439	0.0	147	30.39883325625624	6.988694089464691
red	8	31583	6	240069	0.00018993953591440058	178	26.120895881313302	12.207399442971727
red	9	42927	5	283184	0.00011646324420013044	285	60.57086833520684	7.109222088060561
red	10	15799	0	75016	0.0	77	16.130649708983864	6.1185081782517825
