Group	ROI	1H	2H	SE	Ratio_2Hx1H	area	axis_major_length	axis_minor_length
red	1	57514	5359	120333	0.08523531563628267	151	30.721700640888844	6.445604830441512
red	2	33452	2559	185309	0.07106162006053705	248	48.54787351926924	7.275028323713531
red	3	27179	2434	103212	0.08219363117549724	128	25.443255745180082	6.654277493489488
red	4	48878	4328	175678	0.08134420929970304	248	42.47220740243486	7.820884154473162
red	5	30397	2509	161612	0.07624749285844527	230	35.14448891464432	8.477249831929079
red	6	28123	2075	102507	0.06871315981190808	155	31.272977720766555	6.9394490361966295
green	1	151199	14934	1013072	0.08989183365135163	577	61.8889200856085	33.31506131523017
green	2	10754	1074	81617	0.0908014879945891	47	10.00272923645456	6.007216343901704
green	3	15617	1593	95256	0.09256246368390471	53	11.333706376165422	6.031358757204928
green	4	59982	5516	371645	0.08421631194845644	304	40.84527013953723	13.359240580597291
green	5	9335	954	63583	0.09272038098940616	39	8.414639425799036	5.824512107949956
green	6	9000	848	52982	0.08610885458976442	36	8.459051693633013	5.333333333333333
green	7	7367	680	52874	0.08450354169255624	43	9.621481626150233	5.704110832796752
green	8	16958	1693	99599	0.09077261272854002	79	17.670502635286837	5.851615112664883
green	9	8752	888	64225	0.09211618257261411	46	9.636885659661596	6.04957465423516
green	10	40107	3873	105185	0.08806275579809004	139	23.25617945362769	11.689262596047708
green	11	32199	3583	94148	0.10013414565982896	118	24.895210069924225	6.901104306800751
green	12	32009	3241	88991	0.09194326241134752	119	22.957107620699855	7.946049371693243
green	13	46757	4883	126794	0.09455848179705655	173	37.22542422863457	7.11775655509872
green	14	44559	4268	85033	0.08741065394146681	131	27.9421290525508	6.247789345983067
green	15	21051	2143	60720	0.09239458480641545	92	19.040885084051606	6.495635261201541
green	16	34962	3802	73531	0.09808069342689094	98	22.218182020653526	5.77129300351552
green	17	25123	2106	102560	0.0773440082265232	174	36.90381456557983	7.329323781228958
green	18	16144	1347	79169	0.07701103424618375	116	24.211996083839214	6.838405358547222
green	19	6459	536	32307	0.07662616154395997	51	11.881770515720092	5.430487646467062
green	20	12706	1017	59625	0.07410915980470742	96	20.1871104362392	6.156073334663009
green	21	9037	769	43835	0.07842137466857026	76	16.66340299513863	6.009339735487423
green	22	5646	485	24212	0.07910618169955962	41	9.596747416474487	5.373829991773819
green	23	9411	751	40901	0.07390277504428262	66	15.322789523708755	5.482755334738735
green	24	11951	937	55568	0.07270328988206083	91	19.17971998295568	6.2862676015760846
green	25	65078	5319	289965	0.07555719703964657	417	48.417052060211994	18.782757051312522
green	26	11171	876	50855	0.07271519880468166	80	17.043184919904725	6.37631145615803
green	27	22299	1700	105643	0.07083628484520188	151	32.65537418102506	6.36110097757196
green	28	33186	2786	150638	0.07744912709885467	203	25.55473394757431	17.06862658791445
green	29	11661	842	57698	0.06734383747900503	90	18.724415122146187	6.467677035441529
green	30	7469	590	45857	0.07321007569177317	68	14.816374407375472	5.979286414737599
green	31	7985	265	34764	0.03212121212121212	58	12.103289129893609	6.184465202125137
green	32	52376	3009	175449	0.05432878938340706	253	33.87265789550492	21.330441096583776
green	33	13253	697	60643	0.04996415770609319	104	20.957537217073586	7.3192605243547595
green	34	38051	1752	171972	0.044016782654573774	260	53.63067685651919	13.45654291595339
green	35	23825	1460	86079	0.05774174411706545	144	31.20143875185461	6.0310670031912075
green	36	26264	1549	109784	0.05569338079315428	171	35.64081075682895	6.60324611621645
green	37	7701	444	35349	0.05451197053406998	52	11.547666302559257	5.774913663147567
green	38	10145	624	52231	0.05794409880211719	79	16.354149065850958	6.2446185875685245
green	39	16291	1165	70745	0.06673923006416133	98	18.327916043155586	8.473838808981705
green	40	8349	554	49754	0.06222621588228687	73	15.36372998503592	6.143472343776379
green	41	12182	834	64195	0.06407498463429626	96	19.740987095837152	6.740221158075512
green	42	20309	1458	87466	0.06698212891073643	124	25.783492662699395	6.263238414442457
green	43	25913	2027	83226	0.07254831782390837	117	24.469397796207463	6.286391286113766
green	44	20609	1051	103026	0.048522622345337024	166	34.74145406839534	6.96807624736579
green	45	19604	1221	119665	0.05863145258103241	186	40.44417669705756	6.718381392236455
green	46	9225	628	49970	0.06373693291383335	73	15.041597995019126	6.63595786695255
green	47	16329	1061	96133	0.06101207590569293	140	29.512800442369443	6.36895514513288
green	48	14595	1032	76897	0.06603954693799194	115	24.563766448500093	6.735969650043034
green	49	10924	715	50070	0.06143139444969499	75	15.759502951378488	6.27369995855215
green	50	22916	1283	109020	0.053018719781809165	160	33.612210401400105	7.088983490741835
green	51	72919	4647	305992	0.05991026996364386	420	36.98479934441878	25.680450239093524
green	52	10562	720	54165	0.06381847190214501	79	17.413353002630682	5.8219816631191925
green	53	36672	3109	147701	0.07815288705663508	219	37.31622026401885	11.581713917887305
green	54	12430	804	60654	0.060752606921565665	83	16.99265058354615	6.663685972803955
green	55	16825	1131	87060	0.06298730229449766	138	29.261195937277964	7.034766262627134
green	56	42258	2434	180079	0.05446164861720219	262	51.66819659283282	8.831288523584458
green	57	12493	917	60155	0.06838180462341537	85	17.919099606181792	6.418991132444945
green	58	12189	567	60546	0.04444967074317968	86	18.32652334152833	6.164859878641848
green	59	122382	8465	487437	0.0646938791107171	683	80.96117593605997	18.98966268895321
green	60	24136	1437	125960	0.05619207758182458	185	37.288975837548854	7.808748099036532
green	61	6440	438	33294	0.0636813027042745	53	11.461049704806708	5.917131246773212
green	62	9196	558	48301	0.05720729956940742	70	14.453867500232791	6.2041460791497
green	63	20823	1405	86574	0.06320856577289904	118	24.674143128872945	6.533865691390404
green	64	96033	6881	427839	0.06686165147598966	348	39.76733731254656	16.242449737190956
green	65	16545	1212	71159	0.06825477276566988	94	20.00649037407773	6.281405207221081
green	66	13573	862	68305	0.05971596813301004	104	21.64481939271573	7.0099477473954215
green	67	5611	441	29659	0.07286847323198943	48	9.921537994329128	6.162207887543698
green	68	10281	769	48344	0.06959276018099547	80	16.40068668641206	6.333835821533914
green	69	9716	657	53522	0.06333751084546418	92	18.710906785431977	6.963738197730827
green	70	8811	593	44104	0.06305827307528711	73	15.598117964744775	5.999803858364113
red	1	56522	3400	182188	0.056740429224658724	151	30.721700640888844	6.445604830441512
